gesture,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
cerrar_derecha,0.30970194935798645,0.3384608328342438,-5.477767217598739e-07,0.25938332080841064,0.29643213748931885,-0.009505094960331917,0.2240375578403473,0.2357381284236908,-0.01900266855955124,0.220608189702034,0.1828916072845459,-0.03228656202554703,0.25088122487068176,0.15715627372264862,-0.04054170474410057,0.2711201310157776,0.11928436905145645,0.011724401265382767,0.22824180126190186,0.09560570120811462,-0.019511917605996132,0.22669187188148499,0.16203147172927856,-0.03560161963105202,0.24527393281459808,0.18217293918132782,-0.0430457778275013,0.30335062742233276,0.1197129562497139,0.0018987616058439016,0.25324875116348267,0.09668473154306412,-0.030590541660785675,0.24849623441696167,0.17225594818592072,-0.032318953424692154,0.268399715423584,0.18779942393302917,-0.024726780131459236,0.3331483006477356,0.13440659642219543,-0.014393184334039688,0.2825869023799896,0.11512528359889984,-0.047706250101327896,0.277032732963562,0.1883963942527771,-0.03536944463849068,0.2972177267074585,0.20423634350299835,-0.017485015094280243,0.36004239320755005,0.1625467836856842,-0.0325503945350647,0.31241172552108765,0.14618560671806335,-0.05199195444583893,0.30223846435546875,0.19461919367313385,-0.043595995754003525,0.31667375564575195,0.21210002899169922,-0.031079908832907677
cerrar_derecha,0.29729774594306946,0.33448439836502075,-4.976216132490663e-07,0.24279150366783142,0.2874724566936493,-0.01064044889062643,0.20812088251113892,0.23094041645526886,-0.021366963163018227,0.20292934775352478,0.17781463265419006,-0.0354008711874485,0.2329327017068863,0.15303999185562134,-0.04462233930826187,0.2548186779022217,0.11226282268762589,0.011014940217137337,0.20769569277763367,0.09279993921518326,-0.018571751192212105,0.21052014827728271,0.1585727483034134,-0.035045936703681946,0.23141399025917053,0.17648035287857056,-0.04362833499908447,0.28654029965400696,0.11108169704675674,0.001731768948957324,0.2340833991765976,0.09282243996858597,-0.02926076576113701,0.23288916051387787,0.16983634233474731,-0.03160941228270531,0.25395724177360535,0.18480223417282104,-0.025353113189339638,0.3162018954753876,0.12579363584518433,-0.013711013831198215,0.2650837302207947,0.11160475760698318,-0.044408246874809265,0.2604507803916931,0.18465419113636017,-0.03177895024418831,0.28124019503593445,0.1994430273771286,-0.014676973223686218,0.34202995896339417,0.15450188517570496,-0.03134625777602196,0.293167382478714,0.14195136725902557,-0.04796195775270462,0.28311485052108765,0.1894349902868271,-0.038896944373846054,0.2980976104736328,0.20471514761447906,-0.026617009192705154
cerrar_derecha,0.2879441976547241,0.3339492976665497,-5.279735546537268e-07,0.23466305434703827,0.2919746935367584,-0.009730751626193523,0.1992577463388443,0.23489142954349518,-0.020540455356240273,0.19254568219184875,0.1838819831609726,-0.0350123830139637,0.22063054144382477,0.15957200527191162,-0.04409594461321831,0.24757245182991028,0.11398916691541672,0.009976543486118317,0.1999012529850006,0.09627459943294525,-0.021443141624331474,0.2007114440202713,0.16327965259552002,-0.037919070571660995,0.22115759551525116,0.18174125254154205,-0.04580279812216759,0.27772411704063416,0.11502531170845032,2.546963696659077e-05,0.22325003147125244,0.09903983771800995,-0.03268967568874359,0.22170862555503845,0.17471076548099518,-0.03403656929731369,0.24406306445598602,0.1871798187494278,-0.026424285024404526,0.30529648065567017,0.13011318445205688,-0.0162123441696167,0.25197961926460266,0.1152992770075798,-0.048660799860954285,0.24880431592464447,0.18769563734531403,-0.034744951874017715,0.2706303596496582,0.20089620351791382,-0.016183432191610336,0.3292831778526306,0.1591259092092514,-0.03450269624590874,0.28197628259658813,0.14489993453025818,-0.05244731903076172,0.27403825521469116,0.19068878889083862,-0.042725153267383575,0.2899514138698578,0.20546115934848785,-0.029469475150108337
cerrar_derecha,0.1526845395565033,0.3249393701553345,-5.801030624752457e-07,0.09180150926113129,0.2797034680843353,-0.0075132944621145725,0.0565452054142952,0.22439761459827423,-0.019755441695451736,0.03849019110202789,0.17861557006835938,-0.03718027472496033,0.055700354278087616,0.15290531516075134,-0.049238093197345734,0.11059246212244034,0.09531021118164062,0.011768397875130177,0.05312778055667877,0.07819446176290512,-0.019459379836916924,0.050346896052360535,0.14734655618667603,-0.036049388349056244,0.07115451991558075,0.16806820034980774,-0.04465552046895027,0.13853102922439575,0.09530861675739288,-0.0004863846697844565,0.06872697174549103,0.08284292370080948,-0.03564909100532532,0.06712260842323303,0.16424305737018585,-0.03848731890320778,0.09505303204059601,0.17338484525680542,-0.03198016807436943,0.1629345417022705,0.11012741923332214,-0.018737128004431725,0.09293974190950394,0.10247120261192322,-0.052907951176166534,0.09064850956201553,0.17660167813301086,-0.03949298337101936,0.11919012665748596,0.18692059814929962,-0.021336669102311134,0.18060888350009918,0.13948607444763184,-0.03890707343816757,0.12083717435598373,0.12798236310482025,-0.05745305120944977,0.1139446422457695,0.1732664704322815,-0.047958746552467346,0.13614590466022491,0.18742184340953827,-0.03518960624933243
cerrar_derecha,0.1665208488702774,0.3285406827926636,-5.623734864457219e-07,0.10151407867670059,0.28520864248275757,-0.01034519448876381,0.06407371163368225,0.23036828637123108,-0.024125996977090836,0.04569781571626663,0.18444444239139557,-0.04216444864869118,0.06335330009460449,0.16131366789340973,-0.054321322590112686,0.12028706073760986,0.09287824481725693,0.008627350442111492,0.059469472616910934,0.07845120131969452,-0.02336341142654419,0.058760251849889755,0.14960262179374695,-0.04087277129292488,0.08090179413557053,0.17025257647037506,-0.05021023377776146,0.1486770361661911,0.09389146417379379,-0.0023500758688896894,0.07571682333946228,0.08567356318235397,-0.03840574249625206,0.07627956569194794,0.16676077246665955,-0.041703227907419205,0.10450492799282074,0.17680798470973969,-0.03556569665670395,0.1726839691400528,0.1102101057767868,-0.019444087520241737,0.10076704621315002,0.10716995596885681,-0.054386164993047714,0.10086889564990997,0.18066862225532532,-0.041086819022893906,0.12962451577186584,0.1917407512664795,-0.022938523441553116,0.18946409225463867,0.1411646455526352,-0.03868326544761658,0.12822328507900238,0.13417832553386688,-0.05834813043475151,0.12394879758358002,0.17997968196868896,-0.049351323395967484,0.1468307077884674,0.19477707147598267,-0.03662799671292305
cerrar_derecha,0.17276181280612946,0.33638256788253784,-5.737398396377102e-07,0.106348916888237,0.29040589928627014,-0.009394715540111065,0.06837967038154602,0.23531949520111084,-0.022792840376496315,0.04591351002454758,0.19035685062408447,-0.04090922325849533,0.06260629743337631,0.1701383739709854,-0.05315190553665161,0.12559136748313904,0.09711165726184845,0.011085379868745804,0.06218431144952774,0.08452323824167252,-0.01945721171796322,0.06037786230444908,0.15501467883586884,-0.03678673133254051,0.08264414966106415,0.17318016290664673,-0.04655713215470314,0.1539708524942398,0.0978088453412056,-0.0002475623332429677,0.07900011539459229,0.0932435691356659,-0.03557411953806877,0.07881642132997513,0.17203393578529358,-0.039663515985012054,0.10721858590841293,0.18009144067764282,-0.034475624561309814,0.17716747522354126,0.1142498329281807,-0.01751982979476452,0.1025255098938942,0.11322072148323059,-0.05087034031748772,0.10154500603675842,0.18434768915176392,-0.038450539112091064,0.13067272305488586,0.1938878893852234,-0.021381447091698647,0.19241249561309814,0.14588740468025208,-0.03705732524394989,0.12946975231170654,0.13891717791557312,-0.055177830159664154,0.12452432513237,0.18266859650611877,-0.046592794358730316,0.14806143939495087,0.19687435030937195,-0.03452214598655701
cerrar_derecha,0.219061940908432,0.5147755742073059,-4.822019832317892e-07,0.1543864756822586,0.4931333065032959,-0.01459833886474371,0.1112106591463089,0.4566936194896698,-0.030117610469460487,0.08700848370790482,0.42397746443748474,-0.04783497378230095,0.10560502111911774,0.41225382685661316,-0.060154400765895844,0.14864738285541534,0.31187719106674194,0.00015649665147066116,0.08705577999353409,0.32752901315689087,-0.0271111149340868,0.09495526552200317,0.3890247046947479,-0.0418461412191391,0.11696093529462814,0.3963335156440735,-0.049767110496759415,0.17635637521743774,0.31023770570755005,-0.007007598411291838,0.10680410265922546,0.33739835023880005,-0.0346490778028965,0.11391246318817139,0.40461230278015137,-0.034655410796403885,0.1374277025461197,0.40232402086257935,-0.02865501306951046,0.19931967556476593,0.327176958322525,-0.01971287466585636,0.13056543469429016,0.35108259320259094,-0.04735881835222244,0.1346309781074524,0.41188162565231323,-0.034655965864658356,0.159025177359581,0.41222628951072693,-0.01897970773279667,0.21610143780708313,0.35915058851242065,-0.03492102399468422,0.15994039177894592,0.36940068006515503,-0.04966701194643974,0.15662965178489685,0.40681275725364685,-0.04089481383562088,0.17496263980865479,0.4141770005226135,-0.0292415339499712
cerrar_derecha,0.22335313260555267,0.5189571380615234,-4.788014962286979e-07,0.15769118070602417,0.49758821725845337,-0.01557315606623888,0.11480128765106201,0.4635133743286133,-0.03180405870079994,0.0901859700679779,0.4311380684375763,-0.04986611381173134,0.11029146611690521,0.4182046055793762,-0.06238296627998352,0.15442140400409698,0.3171845078468323,-0.002835650695487857,0.09113213419914246,0.3353310823440552,-0.029597578570246696,0.09880612790584564,0.3968791663646698,-0.04385989159345627,0.12053783237934113,0.4017390310764313,-0.051857199519872665,0.18103638291358948,0.3158096671104431,-0.009237118996679783,0.10886301100254059,0.34522607922554016,-0.03716370835900307,0.115934818983078,0.4115539789199829,-0.03711942583322525,0.13971500098705292,0.40794017910957336,-0.03115292452275753,0.20222234725952148,0.3335246443748474,-0.020890895277261734,0.131856769323349,0.3600044548511505,-0.04841138422489166,0.13604699075222015,0.4189143180847168,-0.03615817427635193,0.16105693578720093,0.4176289141178131,-0.020816883072257042,0.2174319326877594,0.36591821908950806,-0.03510665521025658,0.16125936806201935,0.37895965576171875,-0.050148118287324905,0.15817254781723022,0.413947194814682,-0.042417533695697784,0.17691433429718018,0.41998422145843506,-0.0314781591296196
cerrar_derecha,0.226488396525383,0.5153295993804932,-4.513307487741258e-07,0.16161826252937317,0.49475038051605225,-0.014973290264606476,0.12052738666534424,0.46136367321014404,-0.031113281846046448,0.09542606770992279,0.43140196800231934,-0.048999786376953125,0.11214369535446167,0.41856589913368225,-0.06171683967113495,0.15933841466903687,0.3178865313529968,-0.003276101080700755,0.09613128751516342,0.33327221870422363,-0.029519453644752502,0.10372330248355865,0.3934707045555115,-0.04473676159977913,0.12522517144680023,0.3999939262866974,-0.05379551276564598,0.185702383518219,0.3146396577358246,-0.009535637684166431,0.11237537860870361,0.34250307083129883,-0.03717322647571564,0.11962147802114487,0.4063069522380829,-0.03909127786755562,0.14437276124954224,0.4046582281589508,-0.03514586016535759,0.20665082335472107,0.33136647939682007,-0.020608406513929367,0.1345728039741516,0.356441468000412,-0.04745212942361832,0.13889020681381226,0.4143241047859192,-0.03611265867948532,0.16444925963878632,0.41516223549842834,-0.022100098431110382,0.22072073817253113,0.36302050948143005,-0.03413078933954239,0.16306725144386292,0.37806129455566406,-0.04959610477089882,0.16054050624370575,0.41424503922462463,-0.042358897626399994,0.17992325127124786,0.42176562547683716,-0.03217487037181854
cerrar_derecha,0.2269766628742218,0.5122838616371155,-4.3367649027459265e-07,0.16154342889785767,0.49147966504096985,-0.014614732004702091,0.11946605890989304,0.4565018117427826,-0.03032565303146839,0.09488555788993835,0.42620542645454407,-0.048066455870866776,0.1136464923620224,0.41428956389427185,-0.06052813678979874,0.16190096735954285,0.31502604484558105,-0.0016452998388558626,0.0973079651594162,0.33167076110839844,-0.028167014941573143,0.10605187714099884,0.3919375240802765,-0.04352891072630882,0.12869447469711304,0.3971191644668579,-0.052708517760038376,0.18683040142059326,0.31253695487976074,-0.008373190648853779,0.11234042048454285,0.3404936194419861,-0.03674934804439545,0.12109337002038956,0.4049282670021057,-0.03844112902879715,0.14713920652866364,0.40078800916671753,-0.03419606760144234,0.2064121663570404,0.3295140564441681,-0.020171115174889565,0.13366200029850006,0.3531188368797302,-0.04856833815574646,0.1387975662946701,0.41206011176109314,-0.03686206042766571,0.16558273136615753,0.4114910960197449,-0.022187605500221252,0.21952110528945923,0.36143550276756287,-0.034398339688777924,0.16181200742721558,0.3719504475593567,-0.05104979872703552,0.1591181606054306,0.4100922644138336,-0.0435907356441021,0.17922484874725342,0.4185101389884949,-0.03300902619957924
